"# of Use","# в употреба"
"%1$s incl tax.","%1$s вкл. данък"
"%s - %s","%s - %s"
"%s Item(s)","%s обекта"
"Save and Continue Edit","Запиши и продължи с редакция"
"Saved %d record(s)","Записан(и) %d запис(а)"
"Scope","Обхват"
"Scope must not be changed, because the attribute is used in configurable products.","Обхватът не трябва да се променя, тъй като атрибутът се използва в конфигурирани продукти."
"Search","Търсене"
"Search Engine Optimizations","Оптимизация за търсачки"
"Search Information","Имформация за търсене"
"Search Query","Заявка за търсене"
"Search Term with such search query already exists.","Критерий на търсене с тази заявка за търсене вече съществува."
"Searchable","Позволено за търсене"
"See price before order confirmation.","Виж цената преди потвърждение на поръчката"
"Select Category...","Избери категория..."
"Select Configurable Attributes ","Избери конфигурируеми атрибути "
"Select Product...","Избери продукт..."
"Select type of option","Select type of option"
"Select type options required values rows.","Изберете тип опции изискващи редове със стойности."
"Selected Product Types","Избрани типове продукти"
"Selected configuration is not available.","Избраната кофигурация е неналична."
"Send Count","Изпращане на бройка"
"Set Ascending Direction","Задай във възходяща посока"
"Set Descending Direction","Задай в низходяща посока"
"Set Name","Задай име"
"Set Root Category for Store","Задай основна (root) категория за магазин"
"Set root category for this store in the <a href=""%s"">configuration</a>","Задаване на основна категория (root) за този магазин в <a href=""%s"">конфигурацията</a>"
"Set special price","Задай промоционална цена"
"Set/Get current store view","Задай/Извлечи текущ изглед на магазин"
"Settings","Настройки"
"Shop By","Пазаруване по"
"Shopping Options","Опции за пазаруване"
"Show","Покажи"
"Show Details","Покажи детайли"
"Show Tags","Покажи ключови думи"
"Simple Product","Обикновен продукт"
"Site Map","Карта на сайта"
"Sitemap","Карта на сайта"
"Skip import row, required field ""%s"" for the new customer is not defined.","Пропускане на ред за импорт"
"Skipping import row, required field ""%s"" is not defined.","Пропускане на ред за импорт, задължително поле ""%s"" не е дефинирано."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Пропускане на ред за импорт, стойността ""%s"" е невалидна за полето ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Some of the products below do not have all the required options. Please edit them and configure all the required options."
"Sort By","Сортирай по"
"Sort Order","Начин на подреждане"
"Source Model","Модел на източника"
"Special Expires On: %s","Special Expires On: %s"
"Special Price:","Промоционална цена:"
"Special Price: %s","Промоционална цена: %s"
"Starting at:","Започва от:"
"Static","Статично"
"Static block and products","Статичен блок и продукти"
"Static block only","Само статичен блок"
"Status","Статус"
"Stock Availability","Наличност"
"Store","Магазин"
"Store View","Изглед"
"Stretch","Stretch"
"Subscribe to RSS Feed","Абонирай се за RSS данни"
"Super product attributes configuration","Конфигурация на атрибути за Супер продукт"
"Synonym For","Синоним за"
"System Properties","Системни настройки"
"Tag Name","Ключова дума"
"Tax","Данък"
"Template","Шаблон"
"Text","Текст"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The attribute model is not defined","Моделът за атрибут не е дефиниран"
"The attribute set has been saved.","Атрибут групата е записана."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The category has been deleted.","Категорията е изтрита."
"The category has been saved.","Директорията е съхранена."
"The comparison list was cleared.","Списъкът за сравнение е изчистен."
"The file you uploaded is larger than %s Megabytes allowed by server","The file you uploaded is larger than %s Megabytes allowed by server"
"The filters must be an array.","Филтрите трябва да бъдат масив."
"The image contents is not valid base64 data.","Изображенето съдържа невалидни base64 данни."
"The image is not specified.","Не е посочено изображение."
"The model collection resource name is not defined.","Името на ресурс на колекция от модели не е дефинирано."
"The product %s has been added to comparison list.","Продукт %s е добавен към списъка за сравнение."
"The product %s has been removed from comparison list.","Продукт %s е премахнат от списъка за сравнение."
"The product attribute has been deleted.","Атрибутът на продукта е изтрит."
"The product attribute has been saved.","Атрибутът на продукта е записан."
"The product has been created.","Продуктът е създаден."
"The product has been deleted.","Продуктът е изтрит"
"The product has been duplicated.","Продуктът е дублиран."
"The product has been saved.","Продуктът е записан."
"The product has required options","Продуктът има задължителни опции"
"The review has been deleted","Мнението е изтрито"
"The review has been saved.","Мнението е съхранено."
"The review was removed by another user or does not exist.","Мнението е изтрито от друг потребител или не съществува."
"The search was deleted.","Търсенете е изтрито."
"The text is too long","Текстът е твърде дълъг"
"There are no %s available.","Няма налични %s."
"There are no customers for this alert","Няма клиенти за това предупреждение"
"There are no customers for this alert.","Няма клиенти за това предупреждение."
"There are no products matching the selection.","Не са намерени продукти, отговарящи на избора."
"There was an error while request processing.","There was an error while request processing."
"This Attribute no longer exists","Атрибутът вече не съществува"
"This attribute cannot be deleted.","Атрибутът не може да бъде изтрит."
"This attribute cannot be edited.","Атрибутът не може да бъде редактиран."
"This attribute cannot be updated.","Атрибутът не може да бъде обновен."
"This attribute is used in configurable products.","Този атрибут се използва в конфигурирани продукти"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Атрибутът се използва в Конфигурирани продукти и не може да бъде премахнат от атрибут групата."
"This attribute no longer exists","Атрибутът вече не съществува."
"This attribute set no longer exists.","Атрибут групата вече не съществува."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Тази група съдържа атрибути, използвани в Конфигурирани продукти. Моля, преместете ги в друга група и опитайте отново."
"This group contains system attributes. Please move system attributes to another group and try again.","Тази група съдържа системни атрибути. Моля, преместете ги в друга група и опитайте отново."
"This is a required option","Задължителна опция"
"This product no longer exists.","Продуктът вече не съществува."
"This search no longer exists.","This search no longer exists."
"Tier Pricing","Ценообразуване по нива"
"Tile","Плочка"
"Time Format","Формат за час"
"Title","Заглавие"
"To reindex the enabled product(s), the store or product must be specified","Необходимо е избор на магазин или продукт за ре-индексиране на активираните продукти."
"To see product price, add this item to your cart. You can always remove it later.","За да видите цената добавете продукта в количката. Може да го премахнете от там по всяко време"
"Top/Left","Горе/Ляво"
"Top/Right","Горе/Дясно"
"Total Qty Base Items","Общо кол. базови артикули"
"Total Qty Content Items","Total Qty Content Items"
"Total incl. Tax: %1$s","Общо вкл. данък: %1$s"
"Total of %d record(s) have been deleted.","Изтрити са общо %d запис(а)."
"Total of %d record(s) have been updated.","Обновени са общо %d запис(а)."
"Type","Тип"
"URL Rewrite Management","Управление URL презаписи"
"Unable to complete this request.","Невъзможно е изпълнението на тази заявка."
"Unable to find a search term to delete.","Невъзможно е намирането на критерий на търсене за изтриване."
"Unable to find an attribute to delete.","Невъзможно е намирането на атрибут за изтриване."
"Unable to get the product ID.","Невъзможно е извличането на ID на продукт."
"Unassigned Attributes","Неизползвани атрибути"
"Unknown EAV indexer type ""%s"".","Непознат EAV индекс тип ""%s""."
"Unknown attribute: %s.","Неизвестен атрибут: %s."
"Unsupported product type ""%s"".","Неподдържан тип продукт ""%s""."
"Up-sells","Допълнителни продажби"
"Update","Обнови"
"Update Attributes","Обнови атрибути"
"Update Tier Price","Обнови ценови нива"
"Update assigned product","Обнови присъединени продукти"
"Update attribute","Обнови атрибут"
"Update attributes","Обнови атрибути"
"Update category","Обнови категория"
"Update custom option of product","Update custom option of product"
"Update product","Обнови продукт"
"Update product image","Обнови изображение на продукт"
"Update product link","Обнови свързване на продукт"
"Update product tier prices","Обнови ценови нива"
"Update value of custom option","Update value of custom option"
"Upload new product image ","Качи ново изображение на продукт "
"Url Rewrite Management","Управление на URL презаписи"
"Use Canonical Link Meta Tag For Categories","Използвай каноничен линк мета таг за категории"
"Use Canonical Link Meta Tag For Products","Използвай каноничен линк мета таг за продукти"
"Use Categories Path for Product URLs","Използвай път на категории за връзки (URLs) на продукти"
"Use Config Settings","Използвай Конфигурационни настройки"
"Use Default Value","Използвай стойност по подразбиране"
"Use Flat Catalog Category","Използвай линейни категории"
"Use Flat Catalog Product","Използвай линейни продукти"
"Use In Layered Navigation","Използвай във филтър навигация"
"Use In Search Results Layered Navigation","Използвай в резултати от търсене на филтър навигация"
"Use JavaScript Calendar","Използвай JavaScript календар"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Използвай статични адреси (URL) за медйно съдъжание във WYSIWYG редактора за каталога"
"Use To Create Configurable Product","Използвай за създаване на Конфигуриран продукт"
"Use Tree Like Category Sitemap","Използвай дървовиден изглед за карта на категориите"
"Use config","Използвай конфигурация"
"Use default","Използвай стойност по подразбиране"
"Use for Promo Rule Conditions","Използвай за условие в промоционални правила"
"Use four-digit year format.","Use four-digit year format."
"Use in Advanced Search","Използвай в разширено търсене"
"Use in Layered Navigation","Използвай в пластова навигация"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Използвай в пластова навигация<br/>Може да бъде използвано само ако е от тип 'Падащо поле')"
"Use in Quick Search","Използвай в Бързо търсене"
"Used for Sorting in Product Listing","Използван за сортиране в списък с продукти"
"Used in Product Listing","Използван в списък с продукти"
"Value for ""%s"" is invalid.","Стойността за ""%s"" е невалидна."
"Value for ""%s"" is invalid: %s","Стойността за ""%s"" е невалидна: %s"
"Varchar","Текст"
"View as","Преглед като"
"Virtual Product","Виртуален продукт"
"Visibility","Видимост"
"Visible","Видимо"
"Visible on Catalog Pages on Front-end","Видимо на страниците от каталаога на публичния сайт"
"Visible on Product View Page on Front-end","Видимо на страницата за преглед на продукт на публичния сайт"
"WYSIWYG Editor","WYSIWYG Редактор"
"Watermark","Воден знак"
"Watermark Default Size","Размери на воден знка по подразбиране"
"Watermark Opacity, Percent","Непрозрачност на воден знак, процент"
"Watermark Position","Позиция на воден знак"
"We Also Recommend","Препоръчваме още"
"Website","Уебсайт"
"Websites","Уебсайтове"
"What's this?","Какво е това?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Да бъде ли показана опция "Всички" в падащото меню "Покажи X на страница"."
"Wrong BuyRequest instance in options group.","Грешен обект BuyRequest в група опции."
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group.","Грешен тип обект за опция в група опции."
"Wrong option type to get group instance.","Грешен тип опция за извличане на групов обект."
"Wrong product instance type in options group.","Грешен тип обект на продукт в група опции."
"Wrong product type filter specified","Определен е грешен тип на продуктов филтър"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"Year Range","Годишен период"
"Yes","Да"
"You cannot remove system attribute from this set.","Невъзможно премахването на системен атрибут от тази група."
"You have no items to compare.","Няма артикули за сравнение."
"You may also be interested in the following product(s)","Може би ще проявите интерес и към следните продукти"
"Zoom In","Увеличаване"
"Zoom Out","Намаляване"
"[GLOBAL]","[ГЛОБАЛНО]"
"and"," и "
"categories","категории"
"each","всеки"
"ex. http://domain.com","напр. http://domain.com"
"leave blank if its not an image","оставете празно ако не е изображение"
"per page","на страница"
"products","продукти"
"px.","пикс.."
"save","запази"
"select all","маркирай всичко"
"unselect all","размаркирай всичко"
"x","х"
